X,CH1,CH2,CH3,CH4,Start,Increment,Unnamed: 7,V_t
,Volt,Volt,Volt,Volt,-0.3,0.0005,,
73.0,1.28e+00,4.00e-01,3.44e+00,3.20e-02,,,,11.838554579708116
74.0,1.20e+00,8.00e-01,3.52e+00,4.80e-02,,,,11.26468653179536
75.0,1.28e+00,4.00e-01,2.48e+00,2.40e-02,,,,10.743946567398968
76.0,1.28e+00,8.00e-01,3.28e+00,4.80e-02,,,,10.298349337117672
77.0,1.24e+00,4.00e-01,3.84e+00,3.20e-02,,,,9.943393131153675
78.0,1.24e+00,8.00e-01,3.84e+00,4.00e-02,,,,9.688328235762516
79.0,1.32e+00,4.00e-01,3.76e+00,4.80e-02,,,,9.536719135935519
80.0,1.26e+00,4.00e-01,3.84e+00,4.80e-02,,,,9.487196567398973
81.0,1.32e+00,8.00e-01,3.44e+00,3.20e-02,,,,9.534311344137043
82.0,1.26e+00,8.00e-01,2.64e+00,2.40e-02,,,,9.66941915655386
83.0,1.34e+00,4.00e-01,3.60e+00,4.80e-02,,,,9.881542422575844
84.0,1.28e+00,4.00e-01,3.52e+00,3.20e-02,,,,10.158170687554705
85.0,1.34e+00,5.00e+00,4.00e+00,4.80e-02,,,,10.485974408859711
86.0,1.30e+00,4.80e+00,4.00e+00,4.00e-02,,,,10.851417987772763
87.0,1.34e+00,5.00e+00,3.76e+00,4.80e-02,,,,11.241266632864853
88.0,1.34e+00,5.00e+00,3.84e+00,4.80e-02,,,,11.64298822139907
89.0,1.30e+00,4.80e+00,3.28e+00,3.20e-02,,,,12.045056023495476
90.0,1.30e+00,5.00e+00,2.48e+00,4.80e-02,,,,12.437161261964803
91.0,1.38e+00,4.00e-01,3.60e+00,2.40e-02,,,,12.810346297859482
92.0,1.38e+00,4.00e-01,3.52e+00,3.20e-02,,,,13.157070039736226
93.0,1.30e+00,8.00e-01,3.84e+00,4.80e-02,,,,13.471217225368282
94.0,1.30e+00,4.00e-01,4.00e+00,4.80e-02,,,,13.748062734359191
95.0,1.38e+00,8.00e-01,3.68e+00,3.20e-02,,,,13.984201237766811
96.0,1.38e+00,4.00e-01,3.76e+00,4.80e-02,,,,14.17745141981116
97.0,1.30e+00,8.00e-01,2.80e+00,2.40e-02,,,,14.32674282810591
98.0,1.38e+00,4.00e-01,3.20e+00,3.20e-02,,,,14.431992205647575
99.0,1.30e+00,8.00e-01,3.76e+00,4.80e-02,,,,14.493974989449178
100.0,1.38e+00,4.00e-01,3.68e+00,4.00e-02,,,,14.514196567398972
101.0,1.32e+00,8.00e-01,4.00e+00,4.80e-02,,,,14.494766891584067
102.0,1.38e+00,8.00e-01,4.00e+00,4.00e-02,,,,14.43828116612297
103.0,1.30e+00,4.00e-01,3.60e+00,4.80e-02,,,,14.347708564924538
104.0,1.38e+00,8.00e-01,3.68e+00,4.80e-02,,,,14.226290287878317
105.0,1.30e+00,4.00e-01,2.48e+00,2.40e-02,,,,14.077447726642227
106.0,1.30e+00,8.00e-01,3.20e+00,3.20e-02,,,,13.904701074572205
107.0,1.38e+00,4.00e-01,3.76e+00,4.80e-02,,,,13.71159836906254
108.0,1.30e+00,8.00e-01,3.52e+00,4.80e-02,,,,13.501654687643924
109.0,1.38e+00,4.00e-01,3.84e+00,3.20e-02,,,,13.278301020647332
110.0,1.34e+00,8.00e-01,3.84e+00,4.80e-02,,,,13.044842202579211
111.0,1.26e+00,4.00e-01,3.44e+00,3.20e-02,,,,12.804423191808795
112.0,1.34e+00,4.00e-01,3.52e+00,4.80e-02,,,,12.560002934898165
113.0,1.26e+00,8.00e-01,2.64e+00,2.40e-02,,,,12.314335030058292
114.0,1.32e+00,8.00e-01,3.28e+00,3.20e-02,,,,12.069954406941342
115.0,1.26e+00,4.00e-01,3.76e+00,4.80e-02,,,,11.829169261406868
116.0,1.32e+00,8.00e-01,3.68e+00,3.20e-02,,,,11.5940575190636
117.0,1.24e+00,4.00e-01,3.84e+00,4.80e-02,,,,11.366467146161753
118.0,1.28e+00,8.00e-01,3.84e+00,4.80e-02,,,,11.148019677411305
119.0,1.24e+00,4.00e-01,3.44e+00,3.20e-02,,,,10.940116384807036
120.0,1.28e+00,4.00e-01,3.52e+00,4.80e-02,,,,10.743946567398973
121.0,1.20e+00,8.00e-01,2.40e+00,1.60e-02,,,,10.560497497492378
122.0,1.26e+00,8.00e-01,3.20e+00,3.20e-02,,,,10.39056561274111
123.0,1.18e+00,4.00e-01,3.76e+00,4.80e-02,,,,10.23476859510159
124.0,1.26e+00,4.00e-01,3.68e+00,4.00e-02,,,,10.093558026010644
125.0,1.18e+00,8.00e-01,3.84e+00,4.80e-02,,,,9.967232352037541
126.0,1.22e+00,8.00e-01,3.84e+00,4.80e-02,,,,9.85594993641655
